Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
10495,108.00,-612.00,16840.00,0.05,-0.37,10.07,64.00,18.00,32.00,-0.12,-0.00,-0.01,184,204,225 ,
button pressed
696,172.00,-524.00,16788.00,0.08,-0.33,10.07,67.00,16.00,33.00,-0.06,-0.00,-0.13,182,224,215 ,
1397,324.00,-632.00,16912.00,0.15,-0.35,10.13,66.00,18.00,30.00,0.00,-0.00,-0.01,182,272,235 ,
2096,176.00,-500.00,16920.00,0.03,-0.34,10.03,64.00,18.00,33.00,-0.12,-0.12,-0.13,189,267,251 ,
2796,116.00,-600.00,16852.00,0.05,-0.37,10.14,67.00,21.00,33.00,0.19,-0.00,0.05,190,210,241 ,
3496,144.00,-584.00,16924.00,0.12,-0.38,10.10,65.00,18.00,31.00,-0.12,-0.06,0.05,191,205,234 ,
4196,160.00,-608.00,16940.00,0.08,-0.38,10.05,64.00,18.00,31.00,-0.06,-0.00,0.05,186,162,217 ,
4896,200.00,-604.00,16976.00,0.09,-0.36,10.11,65.00,17.00,31.00,-0.12,-0.06,0.05,188,171,215 ,
5596,140.00,-624.00,16904.00,0.08,-0.36,10.08,65.00,19.00,34.00,0.07,-0.06,0.11,186,177,217 ,
6295,224.00,-572.00,16840.00,0.12,-0.33,10.05,66.00,21.00,32.00,-0.06,0.18,0.11,186,185,219 ,
6996,216.00,-616.00,16780.00,0.11,-0.36,10.04,64.00,19.00,32.00,-0.18,-0.31,0.11,183,188,219 ,
7695,220.00,-708.00,16904.00,0.13,-0.45,10.20,63.00,19.00,31.00,0.07,-0.00,-0.07,183,195,221 ,
8396,208.00,-516.00,16892.00,0.10,-0.33,10.05,64.00,18.00,30.00,0.07,-0.19,0.05,183,197,221 ,
9095,176.00,-596.00,16864.00,0.08,-0.38,10.14,65.00,17.00,30.00,0.13,-0.06,-0.07,185,198,221 ,
9795,244.00,-564.00,16828.00,0.16,-0.36,10.11,68.00,17.00,32.00,-0.12,-0.06,0.11,186,198,222 ,
10496,148.00,-612.00,16984.00,0.10,-0.37,10.16,63.00,18.00,30.00,0.00,-0.00,-0.13,184,198,220 ,
button pressed
697,180.00,-596.00,16772.00,0.09,-0.35,10.09,67.00,16.00,27.00,-0.12,-0.19,-0.19,172,218,190 ,
1396,144.00,-668.00,16892.00,0.09,-0.38,10.11,65.00,19.00,30.00,-0.06,0.12,0.11,174,253,206 ,
2096,216.00,-536.00,16868.00,0.15,-0.34,10.13,66.00,20.00,29.00,-0.12,0.06,-0.07,183,253,231 ,
2796,160.00,-540.00,16772.00,0.10,-0.36,10.09,65.00,17.00,30.00,-0.06,-0.12,0.11,182,124,194 ,
3496,164.00,-712.00,16780.00,0.05,-0.42,10.09,66.00,20.00,31.00,0.07,0.12,0.11,180,144,195 ,
4196,228.00,-564.00,16928.00,0.12,-0.39,10.18,65.00,20.00,31.00,0.07,0.12,0.05,181,170,199 ,
4896,176.00,-612.00,16860.00,0.11,-0.37,10.00,68.00,20.00,34.00,-0.06,0.12,0.05,182,179,202 ,
5595,192.00,-576.00,16856.00,0.11,-0.34,10.08,62.00,20.00,33.00,-0.12,0.12,-0.01,181,186,205 ,
6296,240.00,-428.00,16796.00,0.11,-0.31,10.04,64.00,19.00,30.00,0.00,-0.00,0.05,182,188,208 ,
6995,220.00,-612.00,16924.00,0.12,-0.36,10.14,65.00,21.00,34.00,0.13,-0.00,0.11,181,191,208 ,
7696,176.00,-648.00,16812.00,0.12,-0.38,10.06,63.00,17.00,30.00,-0.18,-0.19,0.05,181,194,211 ,
8395,232.00,-632.00,16688.00,0.15,-0.38,10.03,67.00,20.00,29.00,-0.06,0.12,-0.01,184,195,213 ,
9095,84.00,-648.00,16900.00,0.12,-0.35,10.00,67.00,17.00,31.00,-0.12,-0.12,-0.07,183,196,216 ,
9796,196.00,-564.00,16908.00,0.04,-0.37,10.14,63.00,23.00,31.00,0.07,0.06,-0.19,186,196,216 ,
10495,200.00,-564.00,16924.00,0.11,-0.33,10.01,65.00,19.00,31.00,0.00,-0.06,-0.07,178,197,216 ,
button pressed
