Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
10495,204.00,-592.00,16860.00,0.08,-0.34,9.98,66.00,17.00,32.00,0.01,-0.23,0.10,159,180,189 ,
button pressed
695,92.00,-612.00,16716.00,0.04,-0.35,10.09,62.00,19.00,30.00,0.01,0.01,-0.02,162,201,198 ,
1395,60.00,-564.00,16796.00,0.06,-0.34,10.04,63.00,19.00,31.00,0.01,-0.05,0.04,163,203,201 ,
2095,68.00,-516.00,16912.00,0.07,-0.34,10.06,64.00,17.00,31.00,-0.05,0.01,0.10,162,197,202 ,
2795,200.00,-588.00,16816.00,0.11,-0.36,10.03,67.00,21.00,31.00,0.07,0.14,-0.02,164,191,202 ,
3495,224.00,-560.00,16968.00,0.10,-0.36,10.12,68.00,21.00,32.00,0.01,0.14,-0.02,165,196,203 ,
4195,180.00,-560.00,16720.00,0.07,-0.36,9.98,62.00,20.00,33.00,-0.11,0.07,-0.02,164,190,203 ,
4895,160.00,-540.00,16812.00,0.09,-0.39,10.08,62.00,21.00,32.00,-0.11,0.01,-0.08,165,194,205 ,
5595,192.00,-560.00,16864.00,0.10,-0.35,10.07,70.00,18.00,29.00,0.13,0.01,-0.02,164,193,205 ,
6295,100.00,-572.00,16764.00,0.09,-0.35,10.06,66.00,23.00,31.00,0.01,0.26,-0.02,164,190,206 ,
6995,132.00,-588.00,16868.00,0.11,-0.33,10.08,65.00,23.00,31.00,-0.11,0.14,0.17,168,190,205 ,
7695,184.00,-536.00,16780.00,0.06,-0.37,9.95,65.00,16.00,31.00,-0.11,-0.11,-0.02,163,187,203 ,
8394,124.00,-652.00,16880.00,0.13,-0.37,10.04,65.00,19.00,33.00,-0.05,0.07,0.10,165,188,203 ,
9095,92.00,-604.00,16792.00,0.11,-0.31,10.02,66.00,17.00,32.00,0.01,0.07,0.17,163,184,202 ,
9794,176.00,-604.00,16792.00,0.10,-0.35,10.10,67.00,22.00,32.00,-0.05,0.14,0.04,165,185,201 ,
10495,148.00,-508.00,16964.00,0.09,-0.30,10.07,64.00,19.00,30.00,-0.05,-0.11,-0.02,165,190,201 ,
button pressed
697,132.00,-560.00,16808.00,0.11,-0.32,10.07,65.00,18.00,32.00,-0.05,0.07,-0.08,157,208,193 ,
1396,84.00,-560.00,16852.00,0.07,-0.37,10.07,65.00,20.00,33.00,0.07,0.07,0.10,160,198,193 ,
2096,164.00,-680.00,17000.00,0.10,-0.38,10.10,66.00,19.00,33.00,0.07,0.14,0.04,158,192,192 ,
2796,132.00,-592.00,16860.00,0.04,-0.32,10.09,67.00,19.00,33.00,0.01,0.01,0.10,160,188,191 ,
3496,164.00,-472.00,16744.00,0.07,-0.33,10.10,64.00,20.00,32.00,-0.05,0.07,-0.02,158,191,192 ,
4197,164.00,-540.00,16888.00,0.07,-0.35,10.07,63.00,17.00,30.00,0.07,-0.05,-0.02,160,186,188 ,
4896,196.00,-592.00,16836.00,0.12,-0.31,10.05,65.00,16.00,31.00,-0.05,-0.05,0.04,158,193,195 ,
5597,148.00,-588.00,16852.00,0.17,-0.37,10.07,63.00,17.00,31.00,-0.17,0.01,-0.08,158,190,196 ,
6296,88.00,-600.00,16860.00,0.05,-0.36,10.09,65.00,20.00,33.00,-0.11,0.07,0.04,162,189,199 ,
6996,172.00,-568.00,16948.00,0.10,-0.35,10.05,67.00,20.00,32.00,0.13,0.07,0.04,165,187,201 ,
7696,92.00,-524.00,16840.00,0.10,-0.34,10.03,68.00,20.00,28.00,0.19,0.01,-0.08,165,189,201 ,
8396,188.00,-488.00,16804.00,0.07,-0.34,10.05,67.00,19.00,29.00,-0.17,0.07,-0.14,166,187,199 ,
9096,100.00,-520.00,16812.00,0.06,-0.32,10.11,65.00,17.00,30.00,0.07,-0.11,-0.08,162,185,199 ,
9796,28.00,-556.00,16816.00,0.07,-0.32,9.96,65.00,22.00,33.00,-0.11,0.14,-0.02,163,173,195 ,
10495,144.00,-636.00,16900.00,0.02,-0.40,10.12,65.00,19.00,34.00,-0.17,0.01,0.04,162,169,194 ,
button pressed
695,148.00,-588.00,16948.00,0.12,-0.30,10.08,68.00,19.00,31.00,0.19,-0.05,0.04,161,199,201 ,
1395,184.00,-484.00,16812.00,0.09,-0.31,10.07,68.00,17.00,31.00,0.13,-0.23,-0.08,162,190,202 ,
2095,196.00,-476.00,16840.00,0.07,-0.32,10.05,68.00,19.00,30.00,-0.05,-0.05,-0.02,156,186,200 ,
2795,144.00,-516.00,16824.00,0.15,-0.29,10.12,66.00,18.00,29.00,-0.05,0.14,-0.20,161,166,194 ,
3496,96.00,-568.00,16744.00,0.04,-0.40,10.03,69.00,20.00,33.00,0.13,-0.05,-0.02,162,181,198 ,
4195,124.00,-564.00,16868.00,0.05,-0.32,10.15,68.00,16.00,32.00,-0.05,-0.29,-0.08,167,183,201 ,
4895,56.00,-564.00,16756.00,0.03,-0.37,10.01,65.00,17.00,31.00,0.07,-0.11,-0.08,164,202,207 ,
5595,132.00,-692.00,17044.00,0.13,-0.37,10.13,65.00,19.00,31.00,0.25,0.07,-0.02,167,198,207 ,
6295,152.00,-592.00,16928.00,0.10,-0.32,10.13,64.00,20.00,30.00,-0.17,0.20,-0.02,165,192,207 ,
6995,212.00,-636.00,16812.00,0.08,-0.37,10.10,67.00,19.00,33.00,-0.05,0.01,0.10,165,192,207 ,
7695,144.00,-552.00,16772.00,0.07,-0.34,10.03,65.00,22.00,31.00,0.01,0.14,-0.02,163,192,204 ,
8394,176.00,-528.00,16764.00,0.09,-0.33,10.03,67.00,16.00,33.00,0.13,-0.05,0.23,167,195,206 ,
9095,200.00,-568.00,16644.00,0.12,-0.28,10.07,65.00,21.00,29.00,-0.05,0.01,-0.20,165,187,203 ,
9794,132.00,-576.00,16844.00,0.08,-0.33,10.02,62.00,19.00,31.00,-0.11,0.14,0.04,164,192,205 ,
10495,60.00,-524.00,16780.00,0.11,-0.32,10.05,63.00,20.00,33.00,-0.29,0.07,-0.02,164,193,205 ,
button pressed
696,224.00,-532.00,16768.00,0.13,-0.36,10.07,66.00,22.00,33.00,0.07,0.14,0.04,164,198,200 ,
1396,88.00,-536.00,16896.00,0.08,-0.32,10.04,66.00,21.00,28.00,0.13,0.07,-0.20,166,194,202 ,
2096,144.00,-492.00,16732.00,0.14,-0.33,10.08,67.00,17.00,31.00,-0.05,-0.11,-0.02,162,192,204 ,
2796,184.00,-592.00,16884.00,0.12,-0.36,10.09,66.00,20.00,31.00,0.25,0.01,0.04,164,191,204 ,
3496,120.00,-560.00,16772.00,0.09,-0.33,9.98,65.00,19.00,32.00,0.13,-0.05,0.04,165,190,203 ,
4196,108.00,-568.00,16696.00,0.04,-0.33,10.00,67.00,21.00,30.00,0.19,0.01,0.04,166,193,204 ,
