Program started,,,,,,,,,,,,,,,,
Initialize MPU6050,,,,,,,,,,,,,,,,
 * Sleep Mode:            Disabled,,,,,,,,,,,,,,,,
 * Clock Source:          PLL with X axis gyroscope reference,,,,,,,,,,,,,,,,
 * Accelerometer:         +/- 2 g,,,,,,,,,,,,,,,,
 * Accelerometer offsets: -3540 / -3691 / 1478,,,,,,,,,,,,,,,,
 * Gyroscope:         2000 dps,,,,,,,,,,,,,,,,
 * Gyroscope offsets: 155 / 15 / 15,,,,,,,,,,,,,,,,
button pressed,,,,,,,,,,,,,,,,
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
10495,-116,-636,16832,-0.04,-0.35,10.1,64,21,30,-0.09,-0.12,0,110,143,175,
button pressed,,,,,,,,,,,,,,,,
695,32,-592,17004,0.03,-0.31,10.09,63,19,34,-0.03,-0.06,0.18,115,200,233,
1396,-20,-656,16764,-0.03,-0.37,10.1,64,15,32,-0.09,-0.12,0,128,216,267,
2095,48,-592,16816,-0.01,-0.41,10.09,65,16,33,0.15,-0.06,0.18,122,210,257,
2796,-32,-556,16736,-0.03,-0.35,10.07,66,22,32,0.09,0.12,0.06,160,279,382,
3495,40,-600,17012,0.04,-0.33,10.16,64,16,33,-0.09,-0.06,0.06,194,327,471,
4195,-148,-600,16856,-0.04,-0.34,10.1,64,19,32,-0.09,0.12,0.12,206,343,498,
4896,-20,-720,17008,0,-0.41,10.15,66,21,34,0.03,0.12,0.18,207,331,487,
5595,-20,-600,16808,-0.01,-0.36,10.01,70,17,34,0.03,-0.12,0.12,191,309,456,
6296,4,-668,16784,0.09,-0.33,10.05,66,21,33,-0.09,0.06,0.06,186,294,412,
6995,-24,-692,16876,0,-0.32,10.1,66,17,30,0.21,-0.12,-0.18,172,272,387,
7695,-76,-584,16876,-0.11,-0.42,10.07,64,16,32,0.03,-0.06,0,168,250,354,
8395,24,-620,16904,0,-0.36,10.08,63,17,34,0.03,-0.12,0.12,156,235,321,
9095,112,-652,16824,-0.01,-0.36,10.03,64,19,33,-0.03,-0.06,0.12,146,207,284,
9795,-48,-604,16976,0.02,-0.38,10.18,63,17,33,0.03,0,0,134,190,259,
10495,-20,-528,16968,-0.07,-0.35,10.11,66,18,37,0.09,-0.06,0.18,134,196,249,
button pressed,,,,,,,,,,,,,,,,
697,24,-636,17016,0.01,-0.38,10.18,68,19,31,0.03,0.06,0,114,168,201,
1396,0,-652,16980,-0.03,-0.35,10.17,66,19,30,-0.03,-0.12,-0.12,111,168,205,
2096,-16,-684,16752,0,-0.4,10.07,61,21,32,-0.21,0.18,-0.06,114,173,209,
2796,60,-664,16892,0,-0.4,10.2,64,19,35,0.03,-0.06,0,139,200,282,
3496,-124,-584,16996,-0.03,-0.36,10.06,66,17,31,-0.03,-0.06,-0.06,147,223,328,
4196,-40,-660,16960,0.02,-0.39,10.14,65,20,32,0.03,0.06,0,154,235,327,
4896,-68,-548,16988,-0.03,-0.42,10.13,66,20,30,0.03,0.18,0.06,153,235,334,
5595,-64,-696,17000,-0.04,-0.42,10.17,66,19,33,0.03,-0.19,0,152,232,327,
6296,-36,-604,16964,0.01,-0.34,10.08,68,21,33,0.09,0,0.12,148,238,313,
6995,-124,-684,17064,-0.07,-0.35,10.19,64,17,33,-0.03,-0.12,0,144,221,283,
7696,80,-528,17028,0.04,-0.37,10.12,67,21,33,-0.03,0.06,-0.06,136,209,267,
8396,16,-588,16892,0.05,-0.37,10.18,65,21,34,-0.09,0.06,-0.06,136,206,261,
9095,40,-584,16844,0.06,-0.34,10.08,70,16,34,0.15,-0.25,0.06,132,201,247,
9796,-4,-584,16808,-0.02,-0.37,10.08,64,18,33,-0.09,-0.12,0.18,131,201,236,
10495,40,-636,16944,0,-0.31,10.12,67,17,32,0.03,-0.25,-0.06,121,189,220,
Program started,,,,,,,,,,,,,,,,
Initialize MPU6050,,,,,,,,,,,,,,,,
 * Sleep Mode:            Disabled,,,,,,,,,,,,,,,,
 * Clock Source:          PLL with X axis gyroscope reference,,,,,,,,,,,,,,,,
 * Accelerometer:         +/- 2 g,,,,,,,,,,,,,,,,
 * Accelerometer offsets: -3540 / -3691 / 1478,,,,,,,,,,,,,,,,
 * Gyroscope:         2000 dps,,,,,,,,,,,,,,,,
 * Gyroscope offsets: 155 / 15 / 15,,,,,,,,,,,,,,,,
button pressed,,,,,,,,,,,,,,,,
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
696,-44,-576,16804,0.01,-0.28,10.15,63,18,35,0.04,0.08,0.15,122,146,174,
1396,36,-592,16972,0.05,-0.35,10.15,63,19,32,-0.15,0.02,0.03,110,146,176,
2096,-60,-612,16772,-0.03,-0.35,10.05,67,23,32,-0.02,0.08,0.09,110,146,178,
2796,-108,-560,16856,-0.06,-0.33,10.08,65,21,32,0.1,0.08,0.09,111,147,174,
3495,-20,-572,16876,0,-0.37,10.15,65,18,30,-0.02,0.02,-0.16,182,378,472,
4196,44,-628,16820,0.04,-0.39,10.13,65,16,37,-0.09,-0.04,0.15,213,437,540,
4896,-88,-624,16920,-0.03,-0.36,10.09,65,22,34,-0.09,0.15,0.09,216,470,551,
5596,-120,-684,16956,-0.03,-0.37,10.17,65,20,32,-0.15,-0.04,0.15,210,461,537,
6296,64,-540,16832,-0.01,-0.33,10.1,65,21,31,0.04,0.02,-0.1,199,428,517,
6995,-20,-636,16928,-0.04,-0.34,10.18,66,18,33,0.1,0.02,0.03,198,410,515,
7696,-64,-680,16896,0.05,-0.39,10.03,63,19,33,-0.09,-0.04,0.03,198,374,492,
8395,-52,-640,16832,-0.05,-0.33,10.04,66,18,29,0.04,0.02,-0.22,193,343,472,
9096,24,-564,17000,0.01,-0.37,10.15,65,22,35,0.04,0.02,-0.04,199,320,450,
9795,24,-720,16940,0.03,-0.35,10.06,65,18,29,-0.09,0.02,-0.04,188,300,423,
10496,12,-604,16936,-0.03,-0.32,10.11,68,21,32,-0.02,0.08,-0.22,181,283,401,
button pressed,,,,,,,,,,,,,,,,
695,-104,-624,16876,-0.07,-0.39,10.11,67,19,35,-0.09,0.21,0.03,142,203,288,
1396,-28,-612,16880,-0.07,-0.34,10.13,66,20,34,0.04,-0.04,0.03,153,226,333,
