Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
6625,208.00,-532.00,16824.00,0.12,-0.32,10.06,66.00,22.00,31.00,-0.05,0.01,-0.04,195,208,232 ,
7325,92.00,-552.00,16892.00,0.11,-0.35,10.11,67.00,18.00,29.00,0.01,-0.05,-0.10,193,207,233 ,
8024,100.00,-588.00,16944.00,0.05,-0.33,10.01,65.00,18.00,31.00,-0.11,-0.05,0.08,196,206,232 ,
8725,124.00,-496.00,17028.00,0.07,-0.33,10.05,65.00,16.00,33.00,-0.05,0.01,-0.04,196,208,233 ,
9424,96.00,-580.00,16892.00,0.01,-0.32,10.10,65.00,22.00,35.00,0.08,0.01,0.02,197,207,232 ,
10125,156.00,-544.00,16664.00,0.15,-0.33,10.03,65.00,22.00,32.00,0.08,0.01,-0.04,200,206,232 ,
button pressed
696,220.00,-480.00,16932.00,0.07,-0.32,10.04,67.00,20.00,29.00,0.14,-0.11,0.02,183,235,200 ,
1106,2564.00,784.00,6368.00,-2.04,-1.51,13.84,74.00,-24.00,29.00,0.32,-0.30,0.08,182,219,198 ,137
1128,-76.00,-628.00,16980.00,0.09,-0.32,10.09,66.00,28.00,32.00,0.08,0.56,-0.04,189,214,202 ,1257
1829,60.00,-548.00,16832.00,0.05,-0.29,9.97,64.00,19.00,32.00,-0.11,-0.05,0.08,184,205,203 ,
2528,124.00,-552.00,16796.00,0.07,-0.36,10.14,64.00,19.00,32.00,-0.05,0.01,0.08,186,206,204 ,
3229,200.00,-584.00,16892.00,0.09,-0.34,10.09,66.00,18.00,32.00,-0.05,-0.11,0.14,187,207,206 ,
3928,128.00,-736.00,16780.00,0.08,-0.37,10.08,62.00,20.00,29.00,-0.11,0.01,0.02,185,208,206 ,
4628,172.00,-576.00,16860.00,0.09,-0.38,10.06,66.00,20.00,33.00,-0.11,0.07,0.20,186,208,208 ,
